"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2008","395.69","405.75","406.18","379.62","","-2.53%"
"08/01/2008","387.38","395.78","396.81","377.90","","-2.10%"
"09/01/2008","339.94","386.98","386.98","329.66","","-12.25%"
"10/01/2008","273.37","340.49","342.94","235.34","","-19.58%"
"11/01/2008","254.70","273.97","289.59","217.07","","-6.83%"
"12/01/2008","263.72","254.04","268.71","233.10","","3.54%"
"01/01/2009","240.25","264.84","294.65","231.29","","-8.90%"
"02/01/2009","215.79","239.50","252.87","214.19","","-10.18%"
"03/01/2009","233.02","214.38","244.67","197.58","","7.98%"
"04/01/2009","259.80","232.91","262.93","230.81","","11.49%"
"05/01/2009","283.48","259.52","283.75","258.80","","9.11%"
"06/01/2009","281.52","283.55","293.33","271.89","","-0.69%"
"07/01/2009","305.95","281.73","307.75","267.20","","8.68%"
"08/01/2009","317.52","307.20","322.49","302.32","","3.78%"
"09/01/2009","330.97","317.38","337.52","308.59","","4.24%"
"10/01/2009","324.92","331.27","345.88","318.64","","-1.83%"
"11/01/2009","337.76","323.40","346.86","320.66","","3.95%"
"12/01/2009","344.20","337.83","348.41","335.06","","1.91%"
"01/01/2010","329.06","344.29","356.39","328.45","","-4.40%"
"02/01/2010","332.63","328.79","337.87","317.08","","1.08%"
"03/01/2010","353.24","332.78","394.80","332.00","","6.20%"
"04/01/2010","352.88","353.72","366.24","349.07","","-0.10%"
"05/01/2010","317.27","344.04","345.05","300.87","","-10.09%"
"06/01/2010","306.50","317.41","332.87","303.09","","-3.39%"
"07/01/2010","331.66","306.33","335.99","302.09","","8.21%"
"08/01/2010","318.67","332.07","341.60","313.91","","-3.92%"
"09/01/2010","348.81","318.58","352.38","318.40","","9.46%"
"10/01/2010","360.93","348.45","365.67","347.22","","3.47%"
"11/01/2010","351.97","361.29","375.07","350.49","","-2.48%"
"12/01/2010","378.44","352.11","378.91","351.77","","7.52%"
"01/01/2011","385.43","377.88","390.55","375.06","","1.85%"
"02/01/2011","396.25","385.82","400.56","385.75","","2.81%"
"03/01/2011","393.67","396.71","398.63","368.45","","-0.65%"
"04/01/2011","409.63","393.39","410.11","386.41","","4.05%"
"05/01/2011","399.13","409.53","412.20","385.42","","-2.56%"
"06/01/2011","392.16","399.49","400.07","373.84","","-1.75%"
"07/01/2011","384.62","392.09","399.07","380.28","","-1.92%"
"08/01/2011","356.02","384.69","388.71","327.02","","-7.44%"
"09/01/2011","322.30","355.80","358.28","314.33","","-9.47%"
"10/01/2011","356.32","321.62","367.40","304.55","","10.56%"
"11/01/2011","345.45","355.07","357.10","319.25","","-3.05%"
"12/01/2011","344.34","346.44","352.45","329.99","","-0.32%"
"01/01/2012","363.41","344.03","368.33","343.82","","5.54%"
"02/01/2012","380.71","363.31","384.30","362.73","","4.76%"
"03/01/2012","383.14","380.31","389.07","370.09","","0.64%"
"04/01/2012","377.57","383.51","387.41","367.32","","-1.45%"
"05/01/2012","342.88","377.56","379.72","340.43","","-9.19%"
"06/01/2012","359.38","342.96","359.38","333.35","","4.81%"
"07/01/2012","363.95","359.37","365.87","348.09","","1.27%"
"08/01/2012","371.63","363.76","378.37","358.04","","2.11%"
"09/01/2012","381.99","371.50","393.91","368.60","","2.79%"
"10/01/2012","379.02","381.57","390.71","377.24","","-0.78%"
"11/01/2012","383.13","378.93","383.70","362.95","","1.08%"
"12/01/2012","391.37","383.18","395.68","381.78","","2.15%"
"01/01/2013","408.93","391.62","411.30","391.59","","4.49%"
"02/01/2013","408.67","409.26","414.40","401.59","","-0.06%"
"03/01/2013","415.79","408.35","418.97","404.83","","1.74%"
"04/01/2013","427.25","415.79","427.25","408.30","","2.76%"
"05/01/2013","425.26","427.08","443.01","422.92","","-0.47%"
"06/01/2013","413.06","425.74","427.93","400.63","","-2.87%"
"07/01/2013","432.95","413.19","438.36","412.11","","4.82%"
"08/01/2013","423.18","433.43","514.83","422.75","","-2.26%"
"09/01/2013","444.18","423.37","454.93","423.34","","4.96%"
"10/01/2013","461.40","443.98","466.16","436.63","","3.88%"
"11/01/2013","467.48","461.08","468.78","454.52","","1.32%"
"12/01/2013","475.54","467.23","475.57","455.01","","1.72%"
"01/01/2014","456.61","475.37","475.47","453.81","","-3.98%"
"02/01/2014","477.72","456.26","478.94","445.66","","4.62%"
"03/01/2014","478.92","476.58","482.14","467.37","","0.25%"
"04/01/2014","482.89","478.67","484.50","468.07","","0.83%"
"05/01/2014","490.91","483.00","491.08","479.39","","1.66%"
"06/01/2014","499.49","490.74","501.17","490.08","","1.75%"
"07/01/2014","491.99","499.45","505.73","491.98","","-1.50%"
"08/01/2014","502.16","492.08","503.00","480.88","","2.07%"
"09/01/2014","485.41","501.67","504.65","484.30","","-3.34%"
"10/01/2014","487.96","485.42","487.96","450.66","","0.53%"
"11/01/2014","495.70","487.30","498.26","483.29","","1.59%"
"12/01/2014","485.92","495.17","495.72","468.33","","-1.97%"
"01/01/2015","477.43","485.79","489.00","469.05","","-1.75%"
"02/01/2015","503.37","477.28","505.68","476.11","","5.43%"
"03/01/2015","494.14","502.89","506.14","484.68","","-1.83%"
"04/01/2015","506.12","493.91","514.97","491.52","","2.42%"
"05/01/2015","504.90","506.33","515.41","500.98","","-0.24%"
"06/01/2015","492.68","504.89","509.97","491.95","","-2.42%"
"07/01/2015","498.39","492.47","504.54","481.83","","1.16%"
"08/01/2015","464.26","497.68","499.15","442.42","","-6.85%"
"09/01/2015","446.31","464.61","536.28","436.20","","-3.87%"
"10/01/2015","480.96","446.38","483.49","444.39","","7.76%"
"11/01/2015","476.82","480.08","486.47","465.04","","-0.86%"
"12/01/2015","467.59","477.41","481.91","455.68","","-1.94%"
"01/01/2016","439.63","467.38","539.98","412.88","","-5.98%"
"02/01/2016","435.92","440.42","442.08","411.90","","-0.84%"
"03/01/2016","466.55","435.82","469.19","435.73","","7.03%"
"04/01/2016","472.59","466.02","480.18","456.82","","1.29%"
"05/01/2016","472.07","471.75","474.68","457.04","","-0.11%"
"06/01/2016","467.54","472.01","480.69","443.03","","-0.96%"
"07/01/2016","487.34","467.26","487.82","459.45","","4.23%"
"08/01/2016","487.00","487.34","494.29","480.35","","-0.07%"
"09/01/2016","488.99","487.35","496.38","478.15","","0.41%"
"10/01/2016","480.34","488.81","489.96","475.96","","-1.77%"
"11/01/2016","483.97","480.13","487.55","470.94","","0.76%"
"12/01/2016","494.78","484.56","501.81","481.52","","2.23%"
"01/01/2017","507.51","494.36","512.72","493.84","","2.57%"
"02/01/2017","520.98","507.05","524.20","506.93","","2.65%"
"03/01/2017","525.60","519.95","530.65","518.56","","0.89%"
"04/01/2017","533.03","525.75","535.59","519.54","","1.41%"
"05/01/2017","542.96","533.40","544.52","531.79","","1.86%"
